,Toll,Vehicle,Type,trxtime
0,B,X2,Tempo,2022-08-20 10:44:00
1,C,X2,Tempo,2022-08-20 11:05:00
2,D,X2,Tempo,2022-08-20 12:00:00
0,D,X3,Tempo,2022-08-20 15:31:00
1,C,X3,Tempo,2022-08-20 16:13:00
2,B,X3,Tempo,2022-08-20 16:29:00
3,A,X3,Tempo,2022-08-20 20:43:00
0,A,X4,Car,2022-08-20 09:49:00
1,B,X4,Car,2022-08-20 11:42:00
2,C,X4,Car,2022-08-20 12:04:00
3,D,X4,Car,2022-08-20 13:08:00
0,D,X5,Tempo,2022-08-20 00:07:00
1,C,X5,Tempo,2022-08-20 01:30:00
2,B,X5,Tempo,2022-08-20 01:52:00
3,A,X5,Tempo,2022-08-20 04:58:00
0,A,X6,Car,2022-08-20 21:28:00
1,B,X6,Car,2022-08-20 23:02:00
2,C,X6,Car,2022-08-20 23:22:00
3,D,X6,Car,2022-08-21 00:19:00
0,D,X7,Truck,2022-08-20 13:14:00
1,C,X7,Truck,2022-08-20 16:00:00
2,B,X7,Truck,2022-08-20 16:08:00
3,A,X7,Truck,2022-08-20 19:51:00
0,A,X8,Tempo,2022-08-20 20:05:00
1,B,X8,Tempo,2022-08-20 21:57:00
2,C,X8,Tempo,2022-08-20 22:17:00
3,D,X8,Tempo,2022-08-20 23:25:00
0,D,X9,Car,2022-08-20 23:52:00
1,C,X9,Car,2022-08-21 00:35:00
2,B,X9,Car,2022-08-21 00:59:00
3,A,X9,Car,2022-08-21 04:16:00
0,A,X10,Car,2022-08-20 05:35:00
1,B,X10,Car,2022-08-20 08:13:00
2,C,X10,Car,2022-08-20 08:30:00
3,D,X10,Car,2022-08-20 09:31:00
0,D,X11,Tempo,2022-08-20 01:31:00
1,C,X11,Tempo,2022-08-20 02:35:00
2,B,X11,Tempo,2022-08-20 02:49:00
3,A,X11,Tempo,2022-08-20 06:09:00
0,A,X12,Truck,2022-08-20 11:51:00
1,B,X12,Truck,2022-08-20 13:57:00
2,C,X12,Truck,2022-08-20 14:24:00
3,D,X12,Truck,2022-08-20 15:15:00
0,D,X13,Truck,2022-08-20 22:20:00
1,C,X13,Truck,2022-08-21 01:14:00
2,B,X13,Truck,2022-08-21 01:35:00
3,A,X13,Truck,2022-08-21 04:56:00
0,B,X14,Tempo,2022-08-20 16:09:00
1,C,X14,Tempo,2022-08-20 16:22:00
2,D,X14,Tempo,2022-08-20 16:49:00
0,D,X15,Car,2022-08-20 19:33:00
1,C,X15,Car,2022-08-20 20:20:00
2,B,X15,Car,2022-08-20 20:41:00
3,A,X15,Car,2022-08-21 00:21:00
0,A,X16,Car,2022-08-20 02:59:00
1,B,X16,Car,2022-08-20 05:10:00
2,C,X16,Car,2022-08-20 05:26:00
3,D,X16,Car,2022-08-20 06:43:00
0,D,X17,Truck,2022-08-20 17:34:00
1,C,X17,Truck,2022-08-20 20:16:00
2,B,X17,Truck,2022-08-20 20:38:00
3,A,X17,Truck,2022-08-20 23:47:00
0,A,X18,Truck,2022-08-20 22:27:00
1,B,X18,Truck,2022-08-21 00:18:00
2,C,X18,Truck,2022-08-21 00:34:00
3,D,X18,Truck,2022-08-21 01:39:00
0,D,X19,Car,2022-08-20 18:03:00
1,C,X19,Car,2022-08-20 18:55:00
2,B,X19,Car,2022-08-20 19:10:00
3,A,X19,Car,2022-08-20 22:08:00
0,A,X20,Car,2022-08-20 06:45:00
1,B,X20,Car,2022-08-20 09:06:00
2,C,X20,Car,2022-08-20 09:19:00
3,D,X20,Car,2022-08-20 10:30:00
0,D,X21,Truck,2022-08-20 23:16:00
1,C,X21,Truck,2022-08-21 01:53:00
2,B,X21,Truck,2022-08-21 02:13:00
3,A,X21,Truck,2022-08-21 05:19:00
0,B,X22,Truck,2022-08-20 11:16:00
1,C,X22,Truck,2022-08-20 11:41:00
2,D,X22,Truck,2022-08-20 12:51:00
0,D,X23,Car,2022-08-20 11:55:00
1,C,X23,Car,2022-08-20 12:40:00
2,B,X23,Car,2022-08-20 13:03:00
3,A,X23,Car,2022-08-20 16:28:00
0,A,X24,Car,2022-08-20 05:50:00
1,B,X24,Car,2022-08-20 07:29:00
2,C,X24,Car,2022-08-20 07:48:00
3,D,X24,Car,2022-08-20 08:55:00
0,D,X25,Tempo,2022-08-20 23:34:00
1,C,X25,Tempo,2022-08-21 00:29:00
